"","Genus","Species"
"Otu00100",NA,"aerogenes/agglomerans/agrestis/amnigena/aphidicola/asburiae/ascorbata/bugandensis/cancerogenus/cloacae/cryocrescens/ferragutiae/granulomatis/hormaechei/intermedia/izardii/kobei/ludwigii/mori/muelleri/nimipressuralis/noackiae/ornithinolytica/oxytoca/persicina/piriflorinigrans/pneumoniae/quasipneumoniae/rhapontici/rodasii/rwandensis/soli/tabaci/turicensis/variicola/warmboldiae/xiangfangensis"
"Otu00101",NA,NA
"Otu00102","Enhydrobacter","aerosaccus"
"Otu00103","Corynebacterium","accolens/fastidiosum/macginleyi/segmentosum"
"Otu00104","Corynebacterium","aurimucosum/pseudogenitalium/tuberculostearicum"
"Otu00105","Acinetobacter","beijerinckii/haemolyticus/junii/venetianus"
"Otu00106","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu00107",NA,NA
"Otu00109","Lawsonella","clevelandensis"
"Otu00110","Rubritalea","marina"
"Otu00111",NA,NA
"Otu00112",NA,NA
"Otu00113","Cloacibacterium","normanense/rupense"
"Otu00114",NA,NA
"Otu00115",NA,NA
"Otu00116",NA,NA
"Otu00118","Brevundimonas","albigilva/nasdae/vesicularis"
"Otu00120",NA,NA
"Otu00121","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00122","Dietzia","alimentaria/kunjamensis/maris/schimae"
"Otu00123",NA,"crassostreae/lacisalsi/lutimaris"
"Otu00124","Tepidimonas","ignava"
"Otu00125","Staphylococcus","arlettae/aureus/cohnii/gallinarum/haemolyticus/nepalensis/saccharolyticus/saprophyticus/succinus/xylosus"
"Otu00126","Methyloceanibacter","methanicus"
"Otu00127","Streptococcus","anginosus/cristatus/gordonii/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis/timonensis"
"Otu00128",NA,NA
"Otu00129",NA,NA
"Otu00130",NA,NA
"Otu00131",NA,NA
"Otu00132","Croceicoccus","marinus/mobilis"
"Otu00133",NA,NA
"Otu00134",NA,NA
"Otu00136",NA,NA
"Otu00137","Brevibacterium","ravenspurgense"
"Otu00139",NA,NA
"Otu00141","Tepidimonas","arfidensis/fonticaldi"
"Otu00142","Paracoccus","aminophilus/aminovorans/caeni/chinensis/communis/denitrificans/halophilus/huijuniae"
"Otu00143",NA,NA
"Otu00144","Maritimibacter","alkaliphilus"
"Otu00145","Bacillus","marmarensis/pseudofirmus"
"Otu00146",NA,"alpinus/bambusae/chlorophenolicus/cryoconiti/cryotolerans/defluvii/equi/globiformis/humicola/liuii/livingstonensis/niigatensis/oryzae/oxydans/pascens/phenanthrenivorans/pokkalii/polychromogenes/psychrochitiniphilus/psychrolactophilus/ramosus/scleromae/siccitolerans/stackebrandtii/sulfonivorans"
"Otu00147",NA,NA
"Otu00148",NA,NA
"Otu00149","Tepidiphilus","succinatimandens"
"Otu00150",NA,NA
"Otu00151",NA,NA
"Otu00152",NA,NA
"Otu00153",NA,NA
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00156","Brevibacterium","ammoniilyticum/aureum/casei/celere/epidermidis/iodinum/linens/picturae/sandarakinum/sanguinis/sediminis/siliguriense"
"Otu00157","Corynebacterium","H-EH3/afermentans/coyleae/fournierii/ihumii/mucifaciens/pilbarense/ureicelerivorans"
"Otu00158","Corynebacterium","diphtheriae/vitaeruminis"
"Otu00159",NA,NA
"Otu00160","Pseudomonas","antarctica/auricularis/azotoformans/brenneri/canadensis/cedrina/cerasi/cf./costantinii/extremaustralis/extremorientalis/fluorescens/gessardii/grimontii/lactis/libanensis/lurida/mandelii/marginalis/meridiana/paralactis/poae/proteolytica/putida/reactans/salomonii/simiae/syncyanea/synxantha/tolaasii/trivialis/veronii"
"Otu00161",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00162","Planomicrobium","alkanoclasticum/chinense/flavidum/glaciei/koreense/okeanokoites"
"Otu00164","Staphylococcus","aureus/caprae/epidermidis"
"Otu00165",NA,NA
"Otu00166",NA,NA
"Otu00167",NA,NA
"Otu00168",NA,NA
"Otu00171",NA,NA
"Otu00172",NA,NA
"Otu00173",NA,NA
"Otu00174",NA,NA
"Otu00175",NA,NA
"Otu00176",NA,NA
"Otu00177","Pseudomonas","aestusnigri/oceani/pachastrellae/stutzeri"
"Otu00178",NA,NA
"Otu00180",NA,NA
"Otu00181",NA,NA
"Otu00183",NA,NA
"Otu00185",NA,NA
"Otu00186","Shimia","isoporae/marina"
"Otu00187",NA,NA
