sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEIII_H_4	266	30	16	6	14	5	3	2	4	2	3	1
PLATEIII_H_5	108	27	10	0	1	0	0	3	2	0	1	0
PLATEIII_H_6	183	23	7	2	2	2	1	0	1	2	0	0
PLATEIII_H_7	60	11	0	0	0	1	0	0	0	0	0	0
PLATEIII_H_8	97	22	1	1	2	3	1	4	1	0	0	0
PLATEIII_H_9	551	58	41	26	13	24	15	4	14	5	1	1
PLATEII_A_10	310	58	20	5	2	3	1	4	3	1	1	0
PLATEII_A_11	101	5	3	1	2	4	1	0	0	0	0	0
PLATEII_A_12	179	23	9	5	2	5	3	0	0	1	0	0
PLATEII_A_1	16	2	0	3	1	0	1	0	0	0	0	0
PLATEII_A_2	645	105	58	21	28	13	18	7	9	1	0	1
PLATEII_A_3	81	5	5	2	1	2	1	2	2	2	0	1
PLATEII_A_4	140	22	10	3	2	2	3	0	2	0	0	0
PLATEII_A_5	227	30	21	3	3	1	6	7	2	1	0	0
PLATEII_A_6	159	15	4	7	2	7	5	1	1	0	0	0
PLATEII_A_7	143	19	7	3	1	2	1	1	1	0	0	0
PLATEII_A_8	249	29	7	8	3	5	8	4	1	0	0	0
PLATEII_A_9	153	15	9	3	3	1	1	1	2	0	0	0
PLATEII_B_10	358	21	13	10	5	6	5	2	8	3	1	1
PLATEII_B_11	95	14	2	0	0	2	2	1	1	1	0	0
PLATEII_B_12	248	46	17	8	2	10	7	4	3	2	0	0
PLATEII_B_1	93	6	2	0	5	2	2	2	0	0	0	0
PLATEII_B_2	38	0	1	0	0	0	0	1	1	0	0	0
PLATEII_B_3	89	8	2	0	0	1	0	3	1	1	1	0
PLATEII_B_4	164	25	5	1	0	5	3	0	3	2	0	0
PLATEII_B_5	136	19	4	5	5	2	4	3	2	2	0	1
PLATEII_B_6	114	20	6	1	4	10	3	0	2	0	0	0
PLATEII_B_7	183	27	4	2	2	1	3	2	2	1	0	0
PLATEII_B_8	134	20	5	0	0	4	3	0	2	1	0	0
PLATEII_B_9	121	9	11	7	2	2	2	2	3	1	0	0
PLATEII_C_10	124	15	5	1	1	1	1	1	1	1	0	0
PLATEII_C_11	72	3	7	2	0	1	1	0	0	0	0	0
PLATEII_C_12	77	14	0	0	2	2	3	1	2	0	0	0
PLATEII_C_1	34	7	1	1	0	1	1	1	0	0	0	0
PLATEII_C_2	70	12	0	1	1	1	2	2	3	1	0	0
PLATEII_C_3	110	6	1	2	0	3	1	0	0	0	0	1
PLATEII_C_4	121	18	4	0	4	1	5	1	4	0	0	0
PLATEII_C_5	654	176	60	47	25	31	30	11	15	6	2	2
PLATEII_C_6	61	7	4	0	0	0	0	1	1	0	0	0
PLATEII_C_7	153	35	3	2	1	0	2	1	6	3	0	0
PLATEII_C_8	163	18	8	1	4	1	3	2	2	0	0	0
PLATEII_C_9	205	15	6	5	4	3	2	5	6	1	1	1
PLATEII_D_10	144	19	5	1	3	2	3	2	3	0	0	0
PLATEII_D_11	130	10	6	3	1	3	0	0	1	0	0	0
PLATEII_D_12	80	17	1	0	1	2	0	4	0	0	1	0
