sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEVI_F_10	47	0	0	1	0	1	0	0	1	0	0	0
PLATEVI_F_11	25	1	0	1	1	0	0	2	0	0	0	0
PLATEVI_F_12	50	5	0	0	0	0	4	2	3	0	0	0
PLATEVI_F_1	322	190	132	137	127	68	44	63	43	12	0	0
PLATEVI_F_2	39	6	2	1	0	1	1	2	2	0	0	0
PLATEVI_F_3	39	2	1	0	2	2	1	0	0	1	0	0
PLATEVI_F_4	37	1	2	0	2	0	1	2	1	1	0	0
PLATEVI_F_6	12	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_F_7	36	2	1	0	0	0	2	2	3	0	0	0
PLATEVI_F_8	62	6	4	7	3	2	5	7	1	3	1	0
PLATEVI_F_9	76	10	3	3	1	1	4	1	3	0	0	0
PLATEVI_G_10	4	1	0	0	0	0	0	0	0	0	0	0
PLATEVI_G_11	20	1	0	2	0	0	0	1	2	0	0	0
PLATEVI_G_12	197	110	42	51	71	27	20	31	22	4	1	0
PLATEVI_G_1	180	15	15	11	5	1	1	1	4	1	0	0
PLATEVI_G_2	28	3	0	1	1	1	2	4	1	1	0	0
PLATEVI_G_3	37	3	0	0	0	1	3	0	1	1	0	0
PLATEVI_G_4	51	20	3	1	3	0	1	1	0	2	0	0
PLATEVI_G_6	26	6	1	4	0	0	0	3	0	0	0	0
PLATEVI_G_7	31	5	0	0	1	0	0	2	2	0	0	0
PLATEVI_G_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_G_9	6	0	0	0	0	0	0	0	1	0	0	0
PLATEVI_H_10	3	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_12	3	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_1	8	1	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_2	2	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_4	4	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_6	5	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_7	6	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_8	5	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_9	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_10	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_11	29	5	0	0	0	1	0	0	0	1	0	0
PLATEV_A_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_2	20	0	0	0	0	2	0	0	1	0	0	0
PLATEV_A_3	8	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_4	43	4	3	1	2	2	2	1	1	1	1	0
PLATEV_A_6	32	3	0	0	0	1	3	0	0	0	1	0
PLATEV_A_8	89	12	5	1	3	1	0	3	1	1	0	0
PLATEV_A_9	42	3	1	0	0	2	0	2	1	0	0	0
PLATEV_B_10	91	11	9	6	3	8	6	4	4	0	3	0
PLATEV_B_12	15	3	0	0	0	0	0	0	0	1	0	0
PLATEV_B_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_B_3	15	0	0	0	0	0	0	1	0	0	0	0
PLATEV_B_4	22	2	4	0	0	0	0	1	0	0	0	0
PLATEV_B_6	73	4	2	0	2	1	1	0	0	1	0	0
PLATEV_B_7	203	24	13	8	5	2	9	3	5	0	1	0
PLATEV_B_8	45	3	0	1	0	0	0	1	0	1	0	0
PLATEV_B_9	27	1	2	1	0	0	0	0	0	0	1	0
PLATEV_C_10	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_C_11	19	2	0	0	0	1	1	0	0	0	0	0
PLATEV_C_12	40	0	1	0	0	0	1	1	0	0	1	0
PLATEV_C_1	18	0	0	0	0	0	1	0	1	0	0	0
PLATEV_C_2	115	11	2	0	0	3	1	2	1	1	0	0
PLATEV_C_3	5	1	0	0	0	0	0	0	0	0	0	0
PLATEV_C_4	20	0	0	0	1	1	0	2	0	0	0	0
PLATEV_C_6	41	1	2	0	2	1	2	2	0	2	0	0
PLATEV_C_7	40	0	1	1	0	0	0	0	1	0	0	0
PLATEV_C_8	38	2	0	1	0	2	0	0	0	0	0	0
PLATEV_C_9	29	4	1	0	0	1	0	1	0	0	0	0
PLATEV_D_10	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_12	3	0	0	0	0	1	0	0	0	0	0	0
PLATEV_D_1	21	0	0	0	0	0	1	1	0	0	0	0
PLATEV_D_2	32	3	1	5	2	0	1	0	0	1	0	0
PLATEV_D_3	2	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_4	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_6	8	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_7	773	1304	887	715	436	217	116	102	58	25	1	2
PLATEV_D_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_9	5	0	0	0	1	0	0	0	0	0	0	0
PLATEV_F_10	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_12	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_2	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_3	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_4	1	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_6	9	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_7	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_9	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_G_12	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_G_1	2	0	0	0	0	0	0	0	1	0	0	0
PLATEV_G_7	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_10	6	1	0	0	0	0	0	0	0	0	0	0
PLATEV_H_11	3	0	0	0	1	0	0	0	0	0	0	0
PLATEV_H_12	9	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_1	20	1	0	1	0	0	0	2	1	0	0	0
PLATEV_H_2	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_3	12	1	0	0	0	0	0	0	2	0	0	0
PLATEV_H_4	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_6	2	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_7	7	0	0	0	0	0	0	1	1	0	0	0
PLATEV_H_8	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_9	5	1	0	0	0	0	0	0	0	0	0	0
