"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"PLATEIII_H_6"	"34159 (11077 uniques)"	"34017 (112 uniques)"	"33734 (126 uniques)"
"PLATEIII_H_7"	"8426 (3299 uniques)"	"8356 (38 uniques)"	"8243 (41 uniques)"
"PLATEIII_H_8"	"12132 (4586 uniques)"	"12064 (61 uniques)"	"11915 (74 uniques)"
"PLATEIII_H_9"	"120102 (25132 uniques)"	"119691 (308 uniques)"	"117258 (314 uniques)"
"PLATEII_A_10"	"15506 (4799 uniques)"	"15432 (297 uniques)"	"15172 (319 uniques)"
"PLATEII_A_11"	"6798 (2035 uniques)"	"6763 (79 uniques)"	"6658 (78 uniques)"
"PLATEII_A_12"	"12188 (3762 uniques)"	"12108 (167 uniques)"	"11959 (169 uniques)"
"PLATEII_A_1"	"275 (161 uniques)"	"223 (22 uniques)"	"183 (13 uniques)"
"PLATEII_A_2"	"27013 (8627 uniques)"	"26804 (681 uniques)"	"26125 (660 uniques)"
"PLATEII_A_3"	"7113 (2080 uniques)"	"7069 (56 uniques)"	"7003 (57 uniques)"
"PLATEII_A_4"	"8056 (2404 uniques)"	"8017 (137 uniques)"	"7876 (144 uniques)"
"PLATEII_A_5"	"19873 (5225 uniques)"	"19807 (191 uniques)"	"19353 (199 uniques)"
"PLATEII_A_6"	"10302 (3205 uniques)"	"10269 (128 uniques)"	"10133 (129 uniques)"
"PLATEII_A_7"	"13314 (3807 uniques)"	"13238 (119 uniques)"	"13142 (132 uniques)"
"PLATEII_A_8"	"25690 (6893 uniques)"	"25643 (187 uniques)"	"25418 (203 uniques)"
"PLATEII_A_9"	"7222 (2260 uniques)"	"7101 (101 uniques)"	"6914 (103 uniques)"
"PLATEII_B_10"	"35990 (11985 uniques)"	"35859 (285 uniques)"	"35606 (295 uniques)"
"PLATEII_B_11"	"16485 (3515 uniques)"	"16418 (68 uniques)"	"16351 (77 uniques)"
"PLATEII_B_12"	"35283 (9002 uniques)"	"35185 (173 uniques)"	"34788 (203 uniques)"
"PLATEII_B_1"	"8256 (3374 uniques)"	"8212 (90 uniques)"	"8107 (83 uniques)"
"PLATEII_B_2"	"5053 (1496 uniques)"	"5012 (30 uniques)"	"4977 (30 uniques)"
"PLATEII_B_3"	"19064 (3838 uniques)"	"19012 (63 uniques)"	"18949 (68 uniques)"
"PLATEII_B_4"	"21327 (5358 uniques)"	"21283 (117 uniques)"	"21146 (135 uniques)"
"PLATEII_B_5"	"14343 (4243 uniques)"	"14287 (103 uniques)"	"14178 (119 uniques)"
"PLATEII_B_6"	"22037 (5885 uniques)"	"21993 (67 uniques)"	"21829 (81 uniques)"
"PLATEII_B_7"	"45559 (8867 uniques)"	"45469 (143 uniques)"	"45275 (159 uniques)"
"PLATEII_B_8"	"25163 (5960 uniques)"	"25093 (83 uniques)"	"24966 (99 uniques)"
"PLATEII_B_9"	"9759 (2609 uniques)"	"9669 (89 uniques)"	"9516 (84 uniques)"
"PLATEII_C_10"	"71655 (9651 uniques)"	"71529 (83 uniques)"	"71321 (91 uniques)"
"PLATEII_C_11"	"17053 (3839 uniques)"	"17004 (41 uniques)"	"16922 (42 uniques)"
"PLATEII_C_12"	"19511 (4548 uniques)"	"19424 (63 uniques)"	"19339 (70 uniques)"
"PLATEII_C_1"	"1933 (607 uniques)"	"1911 (31 uniques)"	"1886 (35 uniques)"
"PLATEII_C_2"	"9242 (2526 uniques)"	"9201 (47 uniques)"	"9137 (53 uniques)"
"PLATEII_C_3"	"12119 (3458 uniques)"	"12033 (65 uniques)"	"11921 (67 uniques)"
"PLATEII_C_4"	"16139 (4096 uniques)"	"16076 (83 uniques)"	"15972 (90 uniques)"
"PLATEII_C_5"	"118936 (29376 uniques)"	"118746 (392 uniques)"	"117376 (525 uniques)"
"PLATEII_C_6"	"10151 (2716 uniques)"	"10119 (39 uniques)"	"10010 (42 uniques)"
"PLATEII_C_7"	"49627 (10903 uniques)"	"49552 (92 uniques)"	"49272 (123 uniques)"
"PLATEII_C_8"	"34615 (8786 uniques)"	"34543 (107 uniques)"	"34305 (115 uniques)"
"PLATEII_C_9"	"32651 (6641 uniques)"	"32532 (107 uniques)"	"32169 (109 uniques)"
"PLATEII_D_10"	"14077 (4086 uniques)"	"14022 (91 uniques)"	"13898 (105 uniques)"
"PLATEII_D_11"	"14916 (3971 uniques)"	"14860 (83 uniques)"	"14696 (84 uniques)"
"PLATEII_D_12"	"15117 (3949 uniques)"	"15053 (48 uniques)"	"14948 (60 uniques)"
"PLATEII_D_1"	"301 (196 uniques)"	"225 (35 uniques)"	"169 (22 uniques)"
"PLATEII_D_2"	"14676 (4252 uniques)"	"14616 (103 uniques)"	"14497 (116 uniques)"
"PLATEII_D_3"	"74933 (17083 uniques)"	"74748 (232 uniques)"	"74244 (271 uniques)"
"PLATEII_D_4"	"42460 (10878 uniques)"	"42376 (159 uniques)"	"41955 (194 uniques)"
"PLATEII_D_5"	"24137 (7609 uniques)"	"24016 (222 uniques)"	"23570 (236 uniques)"
"PLATEII_D_6"	"80 (70 uniques)"	"32 (4 uniques)"	"2 (1 uniques)"
"PLATEII_D_7"	"56048 (13146 uniques)"	"55933 (142 uniques)"	"55628 (179 uniques)"
"PLATEII_D_8"	"35088 (9383 uniques)"	"35011 (99 uniques)"	"34658 (121 uniques)"
"PLATEII_D_9"	"49376 (9687 uniques)"	"49221 (163 uniques)"	"48613 (177 uniques)"
"PLATEII_E_10"	"104 (68 uniques)"	"70 (7 uniques)"	"61 (3 uniques)"
"PLATEII_E_8"	"60 (37 uniques)"	"39 (6 uniques)"	"30 (3 uniques)"
"PLATEII_E_9"	"254 (187 uniques)"	"181 (17 uniques)"	"144 (11 uniques)"
"PLATEII_F_10"	"46547 (11081 uniques)"	"46418 (342 uniques)"	"46087 (371 uniques)"
"PLATEII_F_11"	"9555 (2651 uniques)"	"9498 (41 uniques)"	"9422 (54 uniques)"
"PLATEII_F_12"	"13596 (3750 uniques)"	"13534 (89 uniques)"	"13429 (95 uniques)"
"PLATEII_F_1"	"881 (299 uniques)"	"861 (34 uniques)"	"832 (27 uniques)"
"PLATEII_F_2"	"15971 (5707 uniques)"	"15888 (63 uniques)"	"15812 (66 uniques)"
"PLATEII_F_3"	"11837 (3255 uniques)"	"11784 (71 uniques)"	"11709 (80 uniques)"
"PLATEII_F_4"	"13046 (3483 uniques)"	"12953 (62 uniques)"	"12833 (67 uniques)"
"PLATEII_F_5"	"19704 (6049 uniques)"	"19571 (177 uniques)"	"19351 (180 uniques)"
"PLATEII_F_6"	"11184 (3079 uniques)"	"11131 (40 uniques)"	"11028 (57 uniques)"
"PLATEII_F_7"	"12697 (3206 uniques)"	"12652 (44 uniques)"	"12584 (58 uniques)"
"PLATEII_F_8"	"18916 (4567 uniques)"	"18850 (57 uniques)"	"18703 (68 uniques)"
"PLATEII_F_9"	"114605 (38789 uniques)"	"112380 (2427 uniques)"	"105290 (2229 uniques)"
"PLATEII_G_10"	"31579 (8125 uniques)"	"31420 (206 uniques)"	"31167 (242 uniques)"
"PLATEII_G_11"	"18624 (4661 uniques)"	"18585 (124 uniques)"	"18395 (130 uniques)"
"PLATEII_G_12"	"12600 (2965 uniques)"	"12503 (64 uniques)"	"12399 (62 uniques)"
"PLATEII_G_2"	"4817 (1363 uniques)"	"4764 (38 uniques)"	"4705 (34 uniques)"
"PLATEII_G_3"	"7109 (2103 uniques)"	"7062 (50 uniques)"	"6977 (52 uniques)"
"PLATEII_G_4"	"7845 (2045 uniques)"	"7771 (54 uniques)"	"7627 (54 uniques)"
"PLATEII_G_5"	"45520 (13582 uniques)"	"45439 (461 uniques)"	"44728 (514 uniques)"
"PLATEII_G_6"	"12519 (2921 uniques)"	"12477 (57 uniques)"	"12413 (61 uniques)"
"PLATEII_G_7"	"11575 (2781 uniques)"	"11530 (54 uniques)"	"11440 (55 uniques)"
"PLATEII_G_8"	"40899 (9102 uniques)"	"40787 (167 uniques)"	"40470 (177 uniques)"
"PLATEII_G_9"	"11381 (3246 uniques)"	"11281 (71 uniques)"	"10956 (74 uniques)"
"PLATEII_H_10"	"2789 (823 uniques)"	"2753 (14 uniques)"	"2640 (10 uniques)"
"PLATEII_H_11"	"2301 (673 uniques)"	"2270 (14 uniques)"	"2190 (12 uniques)"
"PLATEII_H_12"	"19195 (3677 uniques)"	"19149 (39 uniques)"	"19053 (54 uniques)"
"PLATEII_H_1"	"679 (246 uniques)"	"648 (22 uniques)"	"623 (19 uniques)"
"PLATEII_H_2"	"7710 (2267 uniques)"	"7673 (66 uniques)"	"7302 (64 uniques)"
"PLATEII_H_3"	"14722 (3928 uniques)"	"14648 (161 uniques)"	"14400 (163 uniques)"
"PLATEII_H_4"	"4287 (1385 uniques)"	"4236 (37 uniques)"	"4147 (37 uniques)"
"PLATEII_H_5"	"11216 (3678 uniques)"	"11133 (74 uniques)"	"10884 (78 uniques)"
"PLATEII_H_6"	"32891 (8839 uniques)"	"32832 (121 uniques)"	"32361 (130 uniques)"
"PLATEII_H_7"	"8529 (2369 uniques)"	"8462 (45 uniques)"	"8365 (45 uniques)"
"PLATEII_H_8"	"56845 (15521 uniques)"	"56632 (313 uniques)"	"55883 (364 uniques)"
"PLATEII_H_9"	"530102 (91265 uniques)"	"528859 (515 uniques)"	"515566 (1507 uniques)"
"PLATEIV_A_12"	"64 (50 uniques)"	"49 (4 uniques)"	"30 (2 uniques)"
"PLATEIV_B_10"	"65432 (15058 uniques)"	"65348 (158 uniques)"	"65058 (179 uniques)"
"PLATEIV_B_11"	"10957 (3541 uniques)"	"10878 (42 uniques)"	"10838 (48 uniques)"
"PLATEIV_B_12"	"20102 (7057 uniques)"	"20016 (71 uniques)"	"19858 (87 uniques)"
"PLATEIV_B_1"	"21192 (7926 uniques)"	"21124 (98 uniques)"	"20249 (103 uniques)"
"PLATEIV_B_2"	"20070 (6227 uniques)"	"20008 (74 uniques)"	"19681 (85 uniques)"
"PLATEIV_B_3"	"14144 (5167 uniques)"	"14078 (73 uniques)"	"14002 (78 uniques)"
"PLATEIV_B_4"	"106586 (25496 uniques)"	"106478 (148 uniques)"	"100482 (177 uniques)"
"PLATEIV_B_6"	"23447 (8214 uniques)"	"23367 (80 uniques)"	"22940 (106 uniques)"
"PLATEIV_B_7"	"54820 (16956 uniques)"	"54717 (119 uniques)"	"54160 (135 uniques)"
"PLATEIV_B_8"	"37163 (12461 uniques)"	"37076 (135 uniques)"	"35598 (154 uniques)"
"PLATEIV_B_9"	"146198 (29366 uniques)"	"146007 (140 uniques)"	"144863 (155 uniques)"
"PLATEIV_C_10"	"49727 (13274 uniques)"	"49481 (120 uniques)"	"49259 (150 uniques)"
"PLATEIV_C_11"	"22596 (6661 uniques)"	"22508 (62 uniques)"	"22401 (68 uniques)"
"PLATEIV_C_12"	"52299 (15029 uniques)"	"52125 (132 uniques)"	"51778 (171 uniques)"
"PLATEIV_C_1"	"17494 (5961 uniques)"	"17294 (86 uniques)"	"16449 (100 uniques)"
"PLATEIV_C_2"	"33420 (11646 uniques)"	"33329 (192 uniques)"	"25533 (214 uniques)"
"PLATEIV_C_3"	"84634 (20613 uniques)"	"84460 (131 uniques)"	"83241 (143 uniques)"
"PLATEIV_C_4"	"17679 (6817 uniques)"	"17592 (95 uniques)"	"17149 (102 uniques)"
"PLATEIV_C_6"	"100829 (27697 uniques)"	"100642 (259 uniques)"	"100015 (297 uniques)"
"PLATEIV_C_7"	"64885 (19193 uniques)"	"64665 (122 uniques)"	"64061 (141 uniques)"
"PLATEIV_C_8"	"87860 (21589 uniques)"	"87658 (143 uniques)"	"86924 (178 uniques)"
"PLATEIV_C_9"	"41696 (10244 uniques)"	"41591 (85 uniques)"	"41346 (96 uniques)"
"PLATEIV_D_10"	"132518 (47488 uniques)"	"131851 (1176 uniques)"	"127900 (1361 uniques)"
"PLATEIV_D_11"	"18664 (7318 uniques)"	"18554 (133 uniques)"	"18161 (134 uniques)"
"PLATEIV_D_12"	"134847 (43158 uniques)"	"134534 (375 uniques)"	"132327 (442 uniques)"
"PLATEIV_D_1"	"35104 (13179 uniques)"	"34950 (200 uniques)"	"32353 (231 uniques)"
"PLATEIV_D_2"	"16754 (6802 uniques)"	"16620 (81 uniques)"	"15356 (86 uniques)"
"PLATEIV_D_3"	"79872 (24772 uniques)"	"79699 (165 uniques)"	"69269 (185 uniques)"
"PLATEIV_D_4"	"81063 (27661 uniques)"	"80852 (362 uniques)"	"64152 (410 uniques)"
"PLATEIV_D_6"	"21026 (8159 uniques)"	"20928 (118 uniques)"	"20721 (133 uniques)"
"PLATEIV_D_7"	"126714 (36806 uniques)"	"126487 (207 uniques)"	"117750 (216 uniques)"
"PLATEIV_D_8"	"124821 (36207 uniques)"	"124411 (324 uniques)"	"111116 (394 uniques)"
"PLATEIV_D_9"	"73985 (21482 uniques)"	"73629 (214 uniques)"	"71202 (239 uniques)"
"PLATEIV_E_10"	"56068 (14524 uniques)"	"55858 (143 uniques)"	"55590 (179 uniques)"
"PLATEIV_E_11"	"19795 (7101 uniques)"	"19725 (108 uniques)"	"19546 (116 uniques)"
"PLATEIV_E_12"	"80286 (16570 uniques)"	"80138 (131 uniques)"	"79803 (151 uniques)"
"PLATEIV_E_1"	"21102 (7048 uniques)"	"20998 (121 uniques)"	"19700 (122 uniques)"
"PLATEIV_E_2"	"29370 (10296 uniques)"	"29282 (176 uniques)"	"28856 (196 uniques)"
"PLATEIV_E_3"	"14979 (4990 uniques)"	"14865 (69 uniques)"	"14621 (69 uniques)"
"PLATEIV_E_4"	"13395 (4856 uniques)"	"13325 (76 uniques)"	"13214 (84 uniques)"
"PLATEIV_E_6"	"160723 (47367 uniques)"	"160411 (476 uniques)"	"156600 (572 uniques)"
"PLATEIV_E_7"	"31044 (10673 uniques)"	"30956 (114 uniques)"	"30584 (144 uniques)"
"PLATEIV_E_8"	"63681 (18614 uniques)"	"63516 (152 uniques)"	"62651 (214 uniques)"
"PLATEIV_E_9"	"59890 (14960 uniques)"	"59627 (113 uniques)"	"59206 (157 uniques)"
"PLATEIV_F_10"	"22410 (7087 uniques)"	"22313 (82 uniques)"	"22125 (85 uniques)"
"PLATEIV_F_11"	"21361 (7250 uniques)"	"21304 (77 uniques)"	"21185 (94 uniques)"
"PLATEIV_F_12"	"128716 (20542 uniques)"	"128568 (78 uniques)"	"128217 (91 uniques)"
"PLATEIV_F_1"	"27767 (9027 uniques)"	"27669 (124 uniques)"	"26583 (140 uniques)"
"PLATEIV_F_2"	"33158 (10190 uniques)"	"32968 (132 uniques)"	"31974 (145 uniques)"
"PLATEIV_F_3"	"14974 (5573 uniques)"	"14929 (71 uniques)"	"14829 (86 uniques)"
"PLATEIV_F_4"	"25683 (9279 uniques)"	"25642 (105 uniques)"	"25421 (119 uniques)"
"PLATEIV_F_6"	"25387 (9430 uniques)"	"25252 (118 uniques)"	"24948 (132 uniques)"
"PLATEIV_F_7"	"37458 (12220 uniques)"	"37377 (112 uniques)"	"37102 (130 uniques)"
"PLATEIV_F_8"	"25343 (7380 uniques)"	"25169 (60 uniques)"	"24886 (77 uniques)"
"PLATEIV_F_9"	"26643 (7603 uniques)"	"26577 (71 uniques)"	"26267 (86 uniques)"
"PLATEIV_G_10"	"34502 (12199 uniques)"	"34387 (198 uniques)"	"33990 (216 uniques)"
"PLATEIV_G_11"	"29459 (7439 uniques)"	"29329 (63 uniques)"	"29143 (69 uniques)"
"PLATEIV_G_12"	"39577 (8717 uniques)"	"39462 (75 uniques)"	"39011 (82 uniques)"
"PLATEIV_G_1"	"21424 (7855 uniques)"	"21308 (81 uniques)"	"21032 (85 uniques)"
"PLATEIV_G_2"	"33687 (9178 uniques)"	"33583 (91 uniques)"	"32026 (92 uniques)"
"PLATEIV_G_3"	"19716 (7523 uniques)"	"19643 (150 uniques)"	"19084 (158 uniques)"
"PLATEIV_G_4"	"26904 (8959 uniques)"	"26832 (100 uniques)"	"26319 (114 uniques)"
"PLATEIV_G_6"	"161580 (34891 uniques)"	"161302 (258 uniques)"	"157144 (312 uniques)"
"PLATEIV_G_7"	"44986 (14653 uniques)"	"44884 (140 uniques)"	"44263 (155 uniques)"
"PLATEIV_G_8"	"115173 (27498 uniques)"	"114897 (324 uniques)"	"113200 (364 uniques)"
"PLATEIV_G_9"	"52071 (13337 uniques)"	"51930 (126 uniques)"	"51213 (137 uniques)"
"PLATEIV_H_10"	"53938 (13757 uniques)"	"53857 (123 uniques)"	"53224 (130 uniques)"
"PLATEIV_H_11"	"15157 (5023 uniques)"	"15051 (47 uniques)"	"14967 (66 uniques)"
"PLATEIV_H_12"	"37306 (11279 uniques)"	"37223 (113 uniques)"	"36877 (136 uniques)"
"PLATEIV_H_1"	"152294 (31319 uniques)"	"151695 (196 uniques)"	"148793 (322 uniques)"
"PLATEIV_H_2"	"3052 (1182 uniques)"	"3010 (13 uniques)"	"2960 (9 uniques)"
"PLATEIV_H_3"	"383 (215 uniques)"	"329 (10 uniques)"	"260 (5 uniques)"
"PLATEIV_H_4"	"2492 (877 uniques)"	"2452 (10 uniques)"	"2407 (7 uniques)"
"PLATEIV_H_6"	"31750 (11846 uniques)"	"31571 (180 uniques)"	"31168 (205 uniques)"
"PLATEIV_H_7"	"21950 (7384 uniques)"	"21850 (72 uniques)"	"21633 (79 uniques)"
"PLATEIV_H_8"	"23591 (6985 uniques)"	"23530 (74 uniques)"	"23329 (88 uniques)"
"PLATEIV_H_9"	"42219 (11185 uniques)"	"42131 (100 uniques)"	"41765 (110 uniques)"
"PLATEI_A_10"	"79 (53 uniques)"	"49 (4 uniques)"	"36 (2 uniques)"
"PLATEI_B_10"	"38244 (8563 uniques)"	"38094 (77 uniques)"	"35642 (74 uniques)"
"PLATEI_B_11"	"14122 (4310 uniques)"	"14037 (57 uniques)"	"13906 (63 uniques)"
"PLATEI_B_12"	"17752 (5625 uniques)"	"17656 (83 uniques)"	"17536 (88 uniques)"
