Sample_name,Prop.C,Prop.D
X15,0.295,0.705
X16,0.26,0.74
X2,0.2475,0.7525
X3,0.059375,0.940625
X4,0.203125,0.796875
X5,0.29375,0.70625
X6,0.244375,0.755625
X7,0.165625,0.834375
X8,0.159375,0.840625
X9,0.22,0.78
