	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
PLATEI_G_6	32427	28504	28504	28504 (6810 uniques)	28341 (53 uniques)	28035 (56 uniques)	27342 (40 uniques)	27342 (40 uniques)	27342 (40 uniques)	27342 (30 uniques)	21931 (25 uniques)	21931 (25 uniques)	3000 (25 uniques)	3000 (25 uniques)
PLATEVI_E_8	17361	15617	15617	15617 (5567 uniques)	15535 (59 uniques)	13465 (58 uniques)	11620 (32 uniques)	11620 (32 uniques)	11620 (32 uniques)	11620 (27 uniques)	11571 (25 uniques)	11571 (25 uniques)	3000 (25 uniques)	3000 (24 uniques)
PLATEIII_E_2	10282	8957	8957	8957 (3377 uniques)	8862 (46 uniques)	8594 (62 uniques)	8501 (49 uniques)	8501 (49 uniques)	8501 (49 uniques)	8501 (27 uniques)	8464 (26 uniques)	8464 (26 uniques)	3000 (26 uniques)	3000 (26 uniques)
PLATEIII_G_6	43050	37005	37005	37005 (9663 uniques)	36924 (66 uniques)	36743 (86 uniques)	35813 (54 uniques)	35813 (54 uniques)	35813 (54 uniques)	35813 (29 uniques)	21486 (27 uniques)	21486 (27 uniques)	3000 (26 uniques)	3000 (26 uniques)
PLATEI_G_7	23763	21449	21449	21449 (6202 uniques)	21299 (47 uniques)	21028 (43 uniques)	19998 (31 uniques)	19998 (31 uniques)	19998 (31 uniques)	19998 (28 uniques)	18483 (26 uniques)	18483 (26 uniques)	3000 (26 uniques)	3000 (26 uniques)
PLATEI_H_4	13631	11994	11994	11994 (3820 uniques)	11938 (36 uniques)	11779 (39 uniques)	11779 (36 uniques)	11779 (36 uniques)	11779 (36 uniques)	11779 (27 uniques)	11769 (26 uniques)	11769 (26 uniques)	3000 (26 uniques)	3000 (26 uniques)
PLATEVI_D_7	15693	14050	14050	14050 (5609 uniques)	13973 (66 uniques)	12165 (63 uniques)	9525 (36 uniques)	9525 (36 uniques)	9525 (36 uniques)	9525 (30 uniques)	8920 (26 uniques)	8920 (26 uniques)	3000 (26 uniques)	3000 (26 uniques)
PLATEIV_E_6	173929	160723	160723	160723 (47367 uniques)	160411 (476 uniques)	156600 (572 uniques)	130599 (474 uniques)	130599 (474 uniques)	130599 (474 uniques)	130599 (319 uniques)	103554 (291 uniques)	103554 (291 uniques)	3000 (260 uniques)	3000 (259 uniques)
PLATEIII_B_8	25294	21466	21466	21466 (7729 uniques)	21352 (57 uniques)	21136 (78 uniques)	20756 (57 uniques)	20756 (57 uniques)	20756 (57 uniques)	20756 (29 uniques)	20121 (27 uniques)	20121 (27 uniques)	3000 (27 uniques)	3000 (27 uniques)
PLATEIII_E_7	26603	24073	24073	24073 (7606 uniques)	24010 (59 uniques)	23841 (67 uniques)	23218 (51 uniques)	23218 (51 uniques)	23218 (51 uniques)	23218 (30 uniques)	23067 (29 uniques)	23067 (29 uniques)	3000 (27 uniques)	3000 (27 uniques)
PLATEII_F_7	13746	12697	12697	12697 (3206 uniques)	12652 (44 uniques)	12584 (58 uniques)	12579 (46 uniques)	12579 (46 uniques)	12579 (46 uniques)	12579 (29 uniques)	12485 (27 uniques)	12485 (27 uniques)	3000 (27 uniques)	3000 (27 uniques)
PLATEI_F_3	32411	30084	30084	30084 (6415 uniques)	29938 (42 uniques)	29794 (47 uniques)	29774 (39 uniques)	29774 (39 uniques)	29774 (39 uniques)	29774 (29 uniques)	27450 (28 uniques)	27450 (28 uniques)	3000 (27 uniques)	3000 (27 uniques)
PLATEIII_D_8	25296	21038	21038	21038 (7254 uniques)	20960 (63 uniques)	20730 (79 uniques)	20188 (57 uniques)	20188 (57 uniques)	20188 (57 uniques)	20188 (32 uniques)	18148 (30 uniques)	18148 (30 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEIII_E_8	20009	17337	17337	17337 (5625 uniques)	17246 (52 uniques)	17113 (67 uniques)	17113 (54 uniques)	17113 (54 uniques)	17113 (54 uniques)	17113 (30 uniques)	17093 (28 uniques)	17093 (28 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEII_C_2	10182	9242	9242	9242 (2526 uniques)	9201 (47 uniques)	9137 (53 uniques)	9053 (45 uniques)	9053 (45 uniques)	9053 (45 uniques)	9053 (30 uniques)	8969 (28 uniques)	8969 (28 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEI_E_11	16498	14699	14699	14699 (5115 uniques)	14611 (76 uniques)	13756 (70 uniques)	8378 (44 uniques)	8378 (44 uniques)	8378 (44 uniques)	8378 (33 uniques)	6727 (28 uniques)	6727 (28 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEI_F_12	20694	18405	18405	18405 (5352 uniques)	18332 (49 uniques)	18247 (71 uniques)	17693 (51 uniques)	17693 (51 uniques)	17693 (51 uniques)	17693 (30 uniques)	17514 (29 uniques)	17514 (29 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEI_F_5	28239	24283	24283	24283 (7776 uniques)	24107 (66 uniques)	23887 (67 uniques)	22324 (44 uniques)	22324 (44 uniques)	22324 (44 uniques)	22324 (36 uniques)	20439 (29 uniques)	20439 (29 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEI_H_6	23313	20209	20209	20209 (6687 uniques)	20131 (76 uniques)	19810 (77 uniques)	17424 (45 uniques)	17424 (45 uniques)	17424 (45 uniques)	17424 (32 uniques)	11767 (28 uniques)	11767 (28 uniques)	3000 (28 uniques)	3000 (28 uniques)
PLATEI_B_11	15793	14122	14122	14122 (4310 uniques)	14037 (57 uniques)	13906 (63 uniques)	13503 (50 uniques)	13503 (50 uniques)	13503 (50 uniques)	13503 (32 uniques)	13219 (30 uniques)	13217 (29 uniques)	3000 (29 uniques)	3000 (29 uniques)
PLATEI_B_8	24291	21094	21094	21094 (6288 uniques)	21015 (48 uniques)	20859 (56 uniques)	20459 (46 uniques)	20459 (46 uniques)	20459 (46 uniques)	20459 (33 uniques)	19040 (30 uniques)	19040 (30 uniques)	3000 (29 uniques)	3000 (29 uniques)
PLATEI_C_6	24800	21958	21958	21958 (6502 uniques)	21860 (64 uniques)	21703 (78 uniques)	20992 (54 uniques)	20992 (54 uniques)	20992 (54 uniques)	20992 (34 uniques)	20002 (30 uniques)	20002 (30 uniques)	3000 (29 uniques)	3000 (29 uniques)
PLATEI_F_10	22168	20227	20227	20227 (6577 uniques)	20146 (60 uniques)	19904 (58 uniques)	19853 (54 uniques)	19853 (54 uniques)	19853 (54 uniques)	19853 (32 uniques)	18414 (29 uniques)	18414 (29 uniques)	3000 (29 uniques)	3000 (29 uniques)
PLATEI_F_7	24436	21929	21929	21929 (6956 uniques)	21855 (49 uniques)	21637 (59 uniques)	21637 (47 uniques)	21637 (47 uniques)	21637 (47 uniques)	21637 (30 uniques)	21618 (29 uniques)	21618 (29 uniques)	3000 (29 uniques)	3000 (29 uniques)
PLATEII_G_5	50152	45520	45520	45520 (13582 uniques)	45439 (461 uniques)	44728 (514 uniques)	44728 (491 uniques)	44688 (490 uniques)	44688 (490 uniques)	44688 (357 uniques)	41646 (336 uniques)	41646 (336 uniques)	3000 (295 uniques)	3000 (293 uniques)
PLATEIII_B_7	32809	29905	29905	29905 (9543 uniques)	29718 (75 uniques)	28869 (92 uniques)	27790 (58 uniques)	27790 (58 uniques)	27790 (58 uniques)	27790 (32 uniques)	27556 (30 uniques)	27556 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEIII_E_3	18803	16927	16927	16927 (6402 uniques)	16808 (79 uniques)	16627 (92 uniques)	11532 (50 uniques)	11532 (50 uniques)	11532 (50 uniques)	11532 (30 uniques)	11532 (30 uniques)	11532 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEIII_H_5	26271	22423	22423	22423 (7253 uniques)	22258 (56 uniques)	22107 (73 uniques)	21998 (60 uniques)	21998 (60 uniques)	21998 (60 uniques)	21998 (32 uniques)	20472 (30 uniques)	20472 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEI_C_8	33108	29591	29591	29591 (7269 uniques)	29507 (59 uniques)	29339 (70 uniques)	29091 (59 uniques)	29091 (59 uniques)	29091 (59 uniques)	29091 (35 uniques)	16994 (31 uniques)	16994 (31 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEI_E_5	21242	18133	18133	18133 (5256 uniques)	18032 (67 uniques)	17785 (64 uniques)	16107 (38 uniques)	16107 (38 uniques)	16107 (38 uniques)	16107 (34 uniques)	15694 (31 uniques)	15692 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEI_E_9	17854	15622	15622	15622 (5302 uniques)	15464 (80 uniques)	14929 (103 uniques)	14402 (75 uniques)	14402 (75 uniques)	14402 (75 uniques)	14402 (33 uniques)	10655 (30 uniques)	10655 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEVI_C_4	17473	15573	15573	15573 (5522 uniques)	15533 (66 uniques)	13949 (69 uniques)	12347 (40 uniques)	12347 (40 uniques)	12347 (40 uniques)	12347 (33 uniques)	11964 (30 uniques)	11964 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEVI_D_4	18384	16400	16400	16400 (5651 uniques)	16316 (49 uniques)	16206 (59 uniques)	16040 (50 uniques)	16040 (50 uniques)	16040 (50 uniques)	16040 (32 uniques)	15266 (30 uniques)	15266 (30 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEVI_D_6	31224	28772	28772	28772 (7548 uniques)	28692 (51 uniques)	27967 (58 uniques)	27742 (49 uniques)	27742 (49 uniques)	27742 (49 uniques)	27742 (37 uniques)	27281 (32 uniques)	27281 (32 uniques)	3000 (30 uniques)	3000 (30 uniques)
PLATEIII_C_7	22951	20764	20764	20764 (6927 uniques)	20706 (67 uniques)	20528 (72 uniques)	19083 (46 uniques)	19083 (46 uniques)	19083 (46 uniques)	19083 (33 uniques)	18296 (31 uniques)	18296 (31 uniques)	3000 (31 uniques)	3000 (31 uniques)
PLATEII_H_7	9453	8529	8529	8529 (2369 uniques)	8462 (45 uniques)	8365 (45 uniques)	8365 (40 uniques)	8365 (40 uniques)	8365 (40 uniques)	8365 (33 uniques)	6269 (31 uniques)	6269 (31 uniques)	3000 (31 uniques)	3000 (31 uniques)
PLATEI_C_2	15789	14341	14341	14341 (4700 uniques)	14257 (47 uniques)	13936 (49 uniques)	13633 (42 uniques)	13633 (42 uniques)	13633 (42 uniques)	13633 (32 uniques)	13448 (31 uniques)	13448 (31 uniques)	3000 (31 uniques)	3000 (31 uniques)
PLATEI_D_11	12685	11342	11342	11342 (4089 uniques)	11254 (77 uniques)	10980 (77 uniques)	8067 (43 uniques)	8067 (43 uniques)	8067 (43 uniques)	8067 (35 uniques)	5598 (31 uniques)	5598 (31 uniques)	3000 (31 uniques)	3000 (31 uniques)
PLATEI_E_10	23965	21918	21918	21918 (6605 uniques)	21818 (72 uniques)	19514 (77 uniques)	17761 (50 uniques)	17761 (50 uniques)	17761 (50 uniques)	17761 (35 uniques)	15764 (31 uniques)	15764 (31 uniques)	3000 (31 uniques)	3000 (31 uniques)
PLATEIII_B_3	14110	12533	12533	12533 (4816 uniques)	12466 (52 uniques)	12294 (60 uniques)	11786 (49 uniques)	11786 (49 uniques)	11786 (49 uniques)	11786 (32 uniques)	11786 (32 uniques)	11786 (32 uniques)	3000 (32 uniques)	3000 (32 uniques)
PLATEIII_C_2	25974	22973	22973	22973 (6440 uniques)	22917 (53 uniques)	22305 (59 uniques)	21708 (44 uniques)	21708 (44 uniques)	21708 (44 uniques)	21708 (35 uniques)	9423 (32 uniques)	9423 (32 uniques)	3000 (32 uniques)	3000 (32 uniques)
PLATEIV_E_4	15025	13395	13395	13395 (4856 uniques)	13325 (76 uniques)	13214 (84 uniques)	10045 (49 uniques)	10045 (49 uniques)	10045 (49 uniques)	10045 (33 uniques)	10045 (33 uniques)	10045 (33 uniques)	3000 (32 uniques)	3000 (32 uniques)
PLATEI_F_6	32465	28552	28552	28552 (8528 uniques)	28480 (82 uniques)	28286 (97 uniques)	26281 (58 uniques)	26281 (58 uniques)	26281 (58 uniques)	26281 (35 uniques)	20920 (34 uniques)	20920 (34 uniques)	3000 (32 uniques)	3000 (32 uniques)
PLATEVI_C_9	9379	8289	8289	8289 (3178 uniques)	8227 (63 uniques)	8080 (57 uniques)	6603 (39 uniques)	6603 (39 uniques)	6603 (39 uniques)	6603 (36 uniques)	6260 (32 uniques)	6260 (32 uniques)	3000 (32 uniques)	3000 (32 uniques)
PLATEIII_C_4	31873	28098	28098	28098 (9104 uniques)	28025 (81 uniques)	27784 (86 uniques)	25021 (49 uniques)	25021 (49 uniques)	25021 (49 uniques)	25021 (36 uniques)	21720 (34 uniques)	21720 (34 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEIII_E_4	21184	18698	18698	18698 (6190 uniques)	18616 (75 uniques)	18514 (86 uniques)	16747 (50 uniques)	16747 (50 uniques)	16747 (50 uniques)	16747 (37 uniques)	16430 (34 uniques)	16430 (34 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEIII_H_11	18990	16472	16472	16472 (6081 uniques)	16401 (62 uniques)	16198 (69 uniques)	15770 (54 uniques)	15770 (54 uniques)	15770 (54 uniques)	15770 (35 uniques)	15196 (33 uniques)	15196 (33 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEI_B_1	7693	6923	6923	6923 (2445 uniques)	6857 (44 uniques)	6701 (43 uniques)	6596 (40 uniques)	6596 (40 uniques)	6596 (40 uniques)	6596 (35 uniques)	6440 (33 uniques)	6440 (33 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEI_B_9	20358	18008	18008	18008 (5409 uniques)	17852 (60 uniques)	17148 (54 uniques)	16675 (46 uniques)	16675 (46 uniques)	16675 (46 uniques)	16675 (37 uniques)	14294 (33 uniques)	14294 (33 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEI_D_12	9142	8051	8051	8051 (3007 uniques)	7943 (72 uniques)	7850 (69 uniques)	5415 (43 uniques)	5415 (43 uniques)	5415 (43 uniques)	5415 (37 uniques)	4962 (33 uniques)	4962 (33 uniques)	3000 (33 uniques)	3000 (33 uniques)
PLATEII_C_11	18813	17053	17053	17053 (3839 uniques)	17004 (41 uniques)	16922 (42 uniques)	16922 (41 uniques)	16922 (41 uniques)	16922 (41 uniques)	16922 (35 uniques)	16910 (34 uniques)	16910 (34 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIV_B_3	15497	14144	14144	14144 (5167 uniques)	14078 (73 uniques)	14002 (78 uniques)	9018 (47 uniques)	9018 (47 uniques)	9018 (47 uniques)	9018 (39 uniques)	7978 (34 uniques)	7978 (34 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIV_C_1	20129	17494	17494	17494 (5961 uniques)	17294 (86 uniques)	16449 (100 uniques)	15202 (66 uniques)	15202 (66 uniques)	15202 (66 uniques)	15202 (44 uniques)	14201 (35 uniques)	14201 (35 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIV_C_9	46454	41696	41696	41696 (10244 uniques)	41591 (85 uniques)	41346 (96 uniques)	38852 (63 uniques)	38852 (63 uniques)	38852 (63 uniques)	38852 (41 uniques)	31182 (35 uniques)	31182 (35 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIV_F_10	26215	22410	22410	22410 (7087 uniques)	22313 (82 uniques)	22125 (85 uniques)	20123 (49 uniques)	20123 (49 uniques)	20123 (49 uniques)	20123 (40 uniques)	16063 (34 uniques)	16063 (34 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIV_F_3	16536	14974	14974	14974 (5573 uniques)	14929 (71 uniques)	14829 (86 uniques)	13660 (57 uniques)	13660 (57 uniques)	13660 (57 uniques)	13660 (36 uniques)	13293 (34 uniques)	13293 (34 uniques)	3000 (34 uniques)	3000 (34 uniques)
PLATEIII_F_5	19334	15987	15987	15987 (5932 uniques)	15914 (52 uniques)	15777 (60 uniques)	15542 (51 uniques)	15542 (51 uniques)	15542 (51 uniques)	15542 (37 uniques)	14660 (36 uniques)	14660 (36 uniques)	3000 (35 uniques)	3000 (35 uniques)
PLATEIII_H_8	14106	12132	12132	12132 (4586 uniques)	12064 (61 uniques)	11915 (74 uniques)	11777 (63 uniques)	11777 (63 uniques)	11777 (63 uniques)	11777 (37 uniques)	11400 (36 uniques)	11400 (36 uniques)	3000 (35 uniques)	3000 (35 uniques)
PLATEII_G_7	12843	11575	11575	11575 (2781 uniques)	11530 (54 uniques)	11440 (55 uniques)	11415 (50 uniques)	11415 (50 uniques)	11415 (50 uniques)	11415 (40 uniques)	5469 (35 uniques)	5469 (35 uniques)	3000 (35 uniques)	3000 (35 uniques)
PLATEI_E_2	18167	16376	16376	16376 (4848 uniques)	16304 (47 uniques)	10479 (51 uniques)	10132 (43 uniques)	10132 (43 uniques)	10132 (43 uniques)	10132 (39 uniques)	9693 (35 uniques)	9693 (35 uniques)	3000 (35 uniques)	3000 (35 uniques)
PLATEI_F_4	48636	43487	43487	43487 (9346 uniques)	43362 (79 uniques)	41615 (87 uniques)	40348 (50 uniques)	40348 (50 uniques)	40348 (50 uniques)	40348 (38 uniques)	8825 (35 uniques)	8825 (35 uniques)	3000 (35 uniques)	3000 (35 uniques)
